Parent Category,Name,Display Name,Explaining Text,Supported On,Type,Label,Registry Key,Value Name,Possible Values
Scan,Scan_DisableCatchupFullScan,Turn on catch-up full scan,This policy setting allows you to configure catch-up scans for scheduled full scans. A catch-up scan is a scan that is initiated because a regularly scheduled scan was missed.  Usually these scheduled scans are missed because the computer was turned off at the scheduled time.     If you enable this setting  catch-up scans for scheduled full scans will be turned on.  If a computer is offline for two consecutive scheduled scans  a catch-up scan is started the next time someone logs on to the computer.  If there is no scheduled scan configured  there will be no catch-up scan run.     If you disable or do not configure this setting  catch-up scans for scheduled full scans will be turned off.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableCatchupFullScan,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_ThrottleForScheduledScanOnly,CPU throttling type,This policy setting determines whether the maximum percentage CPU utilization permitted during a scan applies only to scheduled scans  or to both scheduled and custom scans (but not real-time protection). The maximum CPU utilization limit is also referred to as CPU throttling  or a CPU usage limit.    The default value for this policy setting is True  which means CPU throttling is applied only to scheduled scans.    If you either enable or do not configure this setting  CPU throttling will apply only to scheduled scans.    If you disable this setting  CPU throttling will apply to scheduled and custom scans.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ThrottleForScheduledScanOnly,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_DisableCatchupQuickScan,Turn on catch-up quick scan,This policy setting allows you to configure catch-up scans for scheduled quick scans. A catch-up scan is a scan that is initiated because a regularly scheduled scan was missed.  Usually these scheduled scans are missed because the computer was turned off at the scheduled time.     If you enable this setting  catch-up scans for scheduled quick scans will be turned on. If a computer is offline for two consecutive scheduled scans  a catch-up scan is started the next time someone logs on to the computer.  If there is no scheduled scan configured  there will be no catch-up scan run.    If you disable or do not configure this setting  catch-up scans for scheduled quick scans will be turned off.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableCatchupQuickScan,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DaysUntilAggressiveCatchupQuickScan,Trigger a quick scan after X days without any scans,This policy setting defines the number of days that can pass since the last scan before an aggresive catchup quick scan is automatically triggered. The value represents the number of days that can pass without any scans being performed before an agressive quick scan will be triggered.        Valid values range from 7 to 60 days. If not configured  aggressive quick scans will be disabled. By default  the value is set to 25 days when enabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DaysUntilAggressiveCatchupQuickScan,Policy value:
Scan,Scan_DaysUntilAggressiveCatchupQuickScan,Trigger a quick scan after X days without any scans,This policy setting defines the number of days that can pass since the last scan before an aggresive catchup quick scan is automatically triggered. The value represents the number of days that can pass without any scans being performed before an agressive quick scan will be triggered.        Valid values range from 7 to 60 days. If not configured  aggressive quick scans will be disabled. By default  the value is set to 25 days when enabled.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify how many days without scans should pass before an aggressive quick scan is triggered,Software\Policies\Microsoft\Windows Defender\Scan,DaysUntilAggressiveCatchupQuickScan,Textbox values:    7 (minimum)   60 (maximum)
Scan,Scan_DisableEmailScanning,Turn on e-mail scanning,This policy setting allows you to configure e-mail scanning. When e-mail scanning is enabled  the engine will parse the mailbox and mail files  according to their specific format  in order to analyze the mail bodies and attachments. Several e-mail formats are currently supported  for example: pst (Outlook)  dbx  mbx  mime (Outlook Express)  binhex (Mac). Email scanning is not supported on modern email clients.        If you enable this setting  e-mail scanning will be enabled.    If you disable or do not configure this setting  e-mail scanning will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableEmailScanning,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableHeuristics,Turn on heuristics,This policy setting allows you to configure heuristics. Suspicious detections will be suppressed right before reporting to the engine client. Turning off heuristics will reduce the capability to flag new threats. It is recommended that you do not turn off heuristics.    If you enable or do not configure this setting  heuristics will be enabled.    If you disable this setting  heuristics will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableHeuristics,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisablePackedExeScanning,Scan packed executables,This policy setting allows you to configure scanning for packed executables. It is recommended that this type of scanning remain enabled.    If you enable or do not configure this setting  packed executables will  be scanned.    If you disable this setting  packed executables will not be scanned.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisablePackedExeScanning,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableRemovableDriveScanning,Scan removable drives,This policy setting allows you to manage whether or not to scan for malicious software and unwanted software in the contents of removable drives  such as USB flash drives  when running a full scan.    If you enable this setting  removable drives will be scanned during any type of scan.    If you disable or do not configure this setting  removable drives will not be scanned during a full scan. Removable drives may still be scanned during quick scan and custom scan.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableRemovableDriveScanning,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableReparsePointScanning,Turn on reparse point scanning,This policy setting allows you to configure reparse point scanning. If you allow reparse points to be scanned  there is a possible risk of recursion. However  the engine supports following reparse points to a maximum depth so at worst scanning could be slowed. Reparse point scanning is disabled by default and this is the recommended state for this functionality.     If you enable this setting  reparse point scanning will be enabled.    If you disable or do not configure this setting  reparse point scanning will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableReparsePointScanning,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableRestorePoint,Create a system restore point,This policy setting allows you to create a system restore point on the computer on a daily basis prior to cleaning.     If you enable this setting  a system restore point will be created.    If you disable or do not configure this setting  a system restore point will not be created.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableRestorePoint,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableScanningMappedNetworkDrivesForFullScan,Run full scan on mapped network drives,This policy setting allows you to configure scanning mapped network drives.    If you enable this setting  mapped network drives will be scanned.    If you disable or do not configure this setting  mapped network drives will not be scanned.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableScanningMappedNetworkDrivesForFullScan,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_DisableScanningNetworkFiles,Configure scanning of network files,This policy setting allows the scanning of network files using on access protection. The default is enabled. Recommended to remain enabled in most cases.    If you enable or do not configure this setting  network files will be scanned.    If you disable this setting  network files will not be scanned.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,DisableScanningNetworkFiles,Policy value:   0 (Enabled)   1 (Disabled)
Scan,Scan_LocalSettingOverrideAvgCPULoadFactor,Configure local setting override for maximum percentage of CPU utilization,This policy setting configures a local override for the configuration of maximum percentage of CPU utilization during scan. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LocalSettingOverrideAvgCPULoadFactor,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_LocalSettingOverrideScanParameters,Configure local setting override for the scan type to use for a scheduled scan,This policy setting configures a local override for the configuration of  the scan type to use during a scheduled scan. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LocalSettingOverrideScanParameters,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_LocalSettingOverrideScheduleDay,Configure local setting override for schedule scan day,This policy setting configures a local override for the configuration of scheduled scan day. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LocalSettingOverrideScheduleDay,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_LocalSettingOverrideScheduleQuickScantime,Configure local setting override for scheduled quick scan time,This policy setting configures a local override for the configuration of scheduled quick scan time. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LocalSettingOverrideScheduleQuickScanTime,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_LocalSettingOverrideScheduleTime,Configure local setting override for scheduled scan time,This policy setting configures a local override for the configuration of scheduled scan time. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LocalSettingOverrideScheduleTime,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_PurgeItemsAfterDelay,Turn on removal of items from scan history folder,This policy setting defines the number of days items should be kept in the scan history folder before being permanently removed. The value represents the number of days to keep items in the folder. If set to zero  items will be kept forever and will not be automatically removed. By default  the value is set to 30 days.    If you enable this setting  items will be removed from the scan history folder after the number of days specified.    If you disable or do not configure this setting  items will be kept in the scan history folder for the default number of days.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,PurgeItemsAfterDelay,Policy value:
Scan,Scan_PurgeItemsAfterDelay,Turn on removal of items from scan history folder,This policy setting defines the number of days items should be kept in the scan history folder before being permanently removed. The value represents the number of days to keep items in the folder. If set to zero  items will be kept forever and will not be automatically removed. By default  the value is set to 30 days.    If you enable this setting  items will be removed from the scan history folder after the number of days specified.    If you disable or do not configure this setting  items will be kept in the scan history folder for the default number of days.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Turn on removal of items from scan history folder,Software\Policies\Microsoft\Windows Defender\Scan,PurgeItemsAfterDelay,Textbox values:    0 (minimum)   4294967295 (maximum)
Scan,Scan_QuickScanInterval,Specify the interval to run quick scans per day,This policy setting allows you to specify an interval at which to perform a quick scan. The time value is represented as the number of hours between quick scans. Valid values range from 1 (every hour) to 24 (once per day). If set to zero  interval quick scans will not occur. By default  this setting is set to 0.    If you enable this setting  a quick scan will run at the interval specified.    If you disable or do not configure this setting  quick scan controlled by this config will not be run.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,QuickScanInterval,Policy value:
Scan,Scan_QuickScanInterval,Specify the interval to run quick scans per day,This policy setting allows you to specify an interval at which to perform a quick scan. The time value is represented as the number of hours between quick scans. Valid values range from 1 (every hour) to 24 (once per day). If set to zero  interval quick scans will not occur. By default  this setting is set to 0.    If you enable this setting  a quick scan will run at the interval specified.    If you disable or do not configure this setting  quick scan controlled by this config will not be run.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify the interval to run quick scans per day,Software\Policies\Microsoft\Windows Defender\Scan,QuickScanInterval,Textbox values:    0 (minimum)   24 (maximum)
Scan,Scan_ScanOnlyIfIdle,Start the scheduled scan only when computer is on but not in use,This policy setting allows you to configure scheduled scans to start only when your computer is on but not in use.    If you enable or do not configure this setting  scheduled scans will only run when the computer is on but not in use.    If you disable this setting  scheduled scans will run at the scheduled time.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ScanOnlyIfIdle,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_ScanParameters,Specify the scan type to use for a scheduled scan,This policy setting allows you to specify the scan type to use during a scheduled scan. Scan type options are:    1 = Quick Scan (default)    2 = Full Scan    If you enable this setting  the scan type will be set to the specified value.    If you disable or do not configure this setting  the default scan type will used.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ScanParameters,Policy value:
Scan,Scan_ScanParameters,Specify the scan type to use for a scheduled scan,This policy setting allows you to specify the scan type to use during a scheduled scan. Scan type options are:    1 = Quick Scan (default)    2 = Full Scan    If you enable this setting  the scan type will be set to the specified value.    If you disable or do not configure this setting  the default scan type will used.,At least Windows Server 2012  Windows 8 or Windows RT,dropdownList,Specify the scan type to use for a scheduled scan,Software\Policies\Microsoft\Windows Defender\Scan,ScanParameters (required),"List items:      ""1"" = ""Quick scan""      ""2"" = ""Full system scan"""
Scan,Scan_ScheduleDay,Specify the day of the week to run a scheduled scan,This policy setting allows you to specify the day of the week on which to perform a scheduled scan. The scan can also be configured to run every day or to never run at all.    This setting can be configured with the following ordinal number values:    (0x0) Every Day    (0x1) Sunday     (0x2) Monday    (0x3) Tuesday    (0x4) Wednesday    (0x5) Thursday    (0x6) Friday    (0x7) Saturday    (0x8) Never (default)    If you enable this setting  a scheduled scan will run at the frequency specified.    If you disable or do not configure this setting  a scheduled scan will run at a default frequency.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleDay,Policy value:
Scan,Scan_ScheduleDay,Specify the day of the week to run a scheduled scan,This policy setting allows you to specify the day of the week on which to perform a scheduled scan. The scan can also be configured to run every day or to never run at all.    This setting can be configured with the following ordinal number values:    (0x0) Every Day    (0x1) Sunday     (0x2) Monday    (0x3) Tuesday    (0x4) Wednesday    (0x5) Thursday    (0x6) Friday    (0x7) Saturday    (0x8) Never (default)    If you enable this setting  a scheduled scan will run at the frequency specified.    If you disable or do not configure this setting  a scheduled scan will run at a default frequency.,At least Windows Server 2012  Windows 8 or Windows RT,dropdownList,Specify the day of the week to run a scheduled scan,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleDay (required),"List items:      ""8"" = ""Never""      ""0"" = ""Every Day""      ""1"" = ""Sunday""      ""2"" = ""Monday""      ""3"" = ""Tuesday""      ""4"" = ""Wednesday""      ""5"" = ""Thursday""      ""6"" = ""Friday""      ""7"" = ""Saturday"""
Scan,Scan_ScheduleQuickScantime,Specify the time for a daily quick scan,This policy setting allows you to specify the time of day at which to perform a daily quick scan. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM. By default  this setting is set to disabled. The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a daily quick scan will run at the time of day specified.    If you disable or do not configure this setting  daily quick scan controlled by this config will not be run.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleQuickScanTime,Policy value:
Scan,Scan_ScheduleQuickScantime,Specify the time for a daily quick scan,This policy setting allows you to specify the time of day at which to perform a daily quick scan. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM. By default  this setting is set to disabled. The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a daily quick scan will run at the time of day specified.    If you disable or do not configure this setting  daily quick scan controlled by this config will not be run.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify the time for a daily quick scan,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleQuickScanTime,Textbox values:    0 (minimum)   1440 (maximum)
Scan,Scan_ScheduleTime,Specify the time of day to run a scheduled scan,This policy setting allows you to specify the time of day at which to perform a scheduled scan. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM. By default  this setting is set to  a time value of 2:00 AM. The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a scheduled scan will run at the time of day specified.    If you disable or do not configure this setting  a scheduled scan will run at a default time.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleTime,Policy value:
Scan,Scan_ScheduleTime,Specify the time of day to run a scheduled scan,This policy setting allows you to specify the time of day at which to perform a scheduled scan. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM. By default  this setting is set to  a time value of 2:00 AM. The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a scheduled scan will run at the time of day specified.    If you disable or do not configure this setting  a scheduled scan will run at a default time.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify the time of day to run a scheduled scan,Software\Policies\Microsoft\Windows Defender\Scan,ScheduleTime,Textbox values:    0 (minimum)   1440 (maximum)
Scan,Scan_MissedScheduledScanCountBeforeCatchup,Define the number of days after which a catch-up scan is forced,    This policy setting allows you to define the number of consecutive scheduled scans that can be missed after which a catch-up scan will be forced. By default  the value of this setting is 2 consecutive scheduled scans.    If you enable this setting  a catch-up scan will occur after the specified number consecutive missed scheduled scans.    If you disable or do not configure this setting  a catch-up scan will occur after the 2 consecutive missed scheduled scans.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,MissedScheduledScanCountBeforeCatchup,Policy value:
Scan,Scan_MissedScheduledScanCountBeforeCatchup,Define the number of days after which a catch-up scan is forced,    This policy setting allows you to define the number of consecutive scheduled scans that can be missed after which a catch-up scan will be forced. By default  the value of this setting is 2 consecutive scheduled scans.    If you enable this setting  a catch-up scan will occur after the specified number consecutive missed scheduled scans.    If you disable or do not configure this setting  a catch-up scan will occur after the 2 consecutive missed scheduled scans.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Define the number of scheduled scans that can be missed after which a catch-up scan is forced,Software\Policies\Microsoft\Windows Defender\Scan,MissedScheduledScanCountBeforeCatchup,Textbox values:    2 (minimum)   20 (maximum)
Scan,Scan_LowCpuPriority,Configure low CPU priority for scheduled scans,This policy setting allows you to enable or disable low CPU priority for scheduled scans.If you enable this setting  low CPU priority will be used during scheduled scans.If you disable or do not configure this setting  not changes will be made to CPU priority for scheduled scans.    ,At least Windows Server 2016  Windows 10 Version 1809,policy,,Software\Policies\Microsoft\Windows Defender\Scan,LowCpuPriority,Policy value:   1 (Enabled)   0 (Disabled)
Scan,Scan_QuickScanIncludeExclusions,Scan excluded files and directories during quick scans,This policy setting allows you to scan excluded files and directories during quick scans.If you set this policy setting to 1  all files and directories that are excluded from real-time protection using contextual exclusions are scanned during a quick scan.If you set this policy to 0 or do not configure it  exclusions are not scanned during quick scans.    ,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Scan,QuickScanIncludeExclusions,Policy value:
Scan,Scan_QuickScanIncludeExclusions,Scan excluded files and directories during quick scans,This policy setting allows you to scan excluded files and directories during quick scans.If you set this policy setting to 1  all files and directories that are excluded from real-time protection using contextual exclusions are scanned during a quick scan.If you set this policy to 0 or do not configure it  exclusions are not scanned during quick scans.    ,At least Windows Server 2012  Windows 8 or Windows RT,dropdownList,,Software\Policies\Microsoft\Windows Defender\Scan,QuickScanIncludeExclusions (required),"List items:      ""0"" = ""0""      ""1"" = ""1"""
Security Intelligence Updates,MeteredConnectionUpdates,Allows Microsoft Defender Antivirus to update and communicate over a metered connection.,    Disabled (Default):     Updates and communications are not allowed over metered connections.    Enabled:     Allow managed devices to update through metered connections. Data charges may apply.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,MeteredConnectionUpdates,Policy value:   1 (Enabled)   0 (Disabled)
Network Protection,AllowNetworkProtectionOnWinServer,This settings controls whether Network Protection is allowed to be configured into block or audit mode on Windows Server.,    Disabled (Default):     If Not Configured or Disabled  network protection is not allowed to be configured into block or audit mode on Windows Server.    Enabled:     If Enabled  administrators can control whether Network Protection is allowed to be configured into block or audit mode on Windows Server.    Note  that this configuration is dependent on the EnableNetworkProtection configuration. If this configuration is false  EnableNetworkProtection will be ignored  otherwise network protection will start on Windows Server depending on the value of EnableNetworkProtection.,At least Windows Server 2016  Windows 10 Version 1709,policy,,Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,AllowNetworkProtectionOnWinServer,Policy value:   1 (Enabled)   0 (Disabled)
Network Inspection System,AllowSwitchToAsyncInspection,Turn on asynchronous inspection,    Control whether network protection can improve performance by switching from real-time inspection to asynchronous inspection.    Disabled (Default):     If Not Configured or Disabled  asynchronous inspection will not be enabled for network protection.    Enabled:     If Enabled  switching to asynchronous inspection will be allowed for network protection.,At least Windows Server 2016  Windows 10 Version 1709,policy,,Software\Policies\Microsoft\Windows Defender\NIS,AllowSwitchToAsyncInspection,Policy value:   1 (Enabled)   0 (Disabled)
Network Inspection System,DisableDatagramProcessing,This setting controls datagram processing for network protection.,    Disabled (Default):     If Not Configured or Disabled  datagram processing will be enabled for network protection.    Enabled:     If Enabled  datagram processing will be disabled for network protection.,At least Windows Server 2016  Windows 10 Version 1709,policy,,Software\Policies\Microsoft\Windows Defender\NIS,DisableDatagramProcessing,Policy value:   1 (Enabled)   0 (Disabled)
Network Inspection System,EnableConvertWarnToBlock,Convert warn verdict to block,    Network protection inspects network traffic and determines whether it allows or blocks traffic or displays a warning.        Disabled (Default):     If Not Configured or Disabled  network protection will display a warning for warn verdicts.    Enabled:     If this setting is Enabled  network protection blocks network traffic instead of displaying a warning.,At least Windows Server 2016  Windows 10 Version 1709,policy,,Software\Policies\Microsoft\Windows Defender\NIS,EnableConvertWarnToBlock,Policy value:   1 (Enabled)   0 (Disabled)
Security Intelligence Updates,SignatureUpdate_ASSignatureDue,Define the number of days before spyware security intelligence is considered out of date,This policy setting allows you to define the number of days that must pass before spyware security intelligence is considered out of date. If security intelligence is determined to be out of date  this state may trigger several additional actions  including falling back to an alternative update source or displaying a warning icon in the user interface. By default  this value is set to 7 days.    If you enable this setting  spyware security intelligence will be considered out of date after the number of days specified have passed without an update.    If you disable or do not configure this setting  spyware security intelligence will be considered out of date after the default number of days have passed without an update.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,ASSignatureDue,Policy value:
Security Intelligence Updates,SignatureUpdate_ASSignatureDue,Define the number of days before spyware security intelligence is considered out of date,This policy setting allows you to define the number of days that must pass before spyware security intelligence is considered out of date. If security intelligence is determined to be out of date  this state may trigger several additional actions  including falling back to an alternative update source or displaying a warning icon in the user interface. By default  this value is set to 7 days.    If you enable this setting  spyware security intelligence will be considered out of date after the number of days specified have passed without an update.    If you disable or do not configure this setting  spyware security intelligence will be considered out of date after the default number of days have passed without an update.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Define the number of days before spyware security intelligence is considered out of date,Software\Policies\Microsoft\Windows Defender\Signature Updates,ASSignatureDue,Textbox values:    0 (minimum)   4294967295 (maximum)
Security Intelligence Updates,SignatureUpdate_AVSignatureDue,Define the number of days before virus security intelligence is considered out of date,This policy setting allows you to define the number of days that must pass before virus security intelligence is considered out of date. If security intelligence is determined to be out of date  this state may trigger several additional actions  including falling back to an alternative update source or displaying a warning icon in the user interface. By default  this value is set to 7 days.    If you enable this setting  virus security intelligence will be considered out of date after the number of days specified have passed without an update.    If you disable or do not configure this setting  virus security intelligence will be considered out of date after the default number of days have passed without an update.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,AVSignatureDue,Policy value:
Security Intelligence Updates,SignatureUpdate_AVSignatureDue,Define the number of days before virus security intelligence is considered out of date,This policy setting allows you to define the number of days that must pass before virus security intelligence is considered out of date. If security intelligence is determined to be out of date  this state may trigger several additional actions  including falling back to an alternative update source or displaying a warning icon in the user interface. By default  this value is set to 7 days.    If you enable this setting  virus security intelligence will be considered out of date after the number of days specified have passed without an update.    If you disable or do not configure this setting  virus security intelligence will be considered out of date after the default number of days have passed without an update.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Define the number of days before virus security intelligence is considered out of date,Software\Policies\Microsoft\Windows Defender\Signature Updates,AVSignatureDue,Textbox values:    0 (minimum)   4294967295 (maximum)
Security Intelligence Updates,SignatureUpdate_DefinitionUpdateFileSharesSources,Define file shares for downloading security intelligence updates,"This policy setting allows you to configure UNC file share sources for downloading security intelligence updates. Sources will be contacted in the order specified. The value of this setting should be entered as a pipe-separated string enumerating the security intelligence update sources. For example: ""{\\unc1 | \\unc2 }"". The list is empty by default.    If you enable this setting  the specified sources will be contacted for security intelligence updates. Once security intelligence updates have been successfully downloaded from one specified source  the remaining sources in the list will not be contacted.    If you disable or do not configure this setting  the list will remain empty by default and no sources will be contacted.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,,
Security Intelligence Updates,SignatureUpdate_DefinitionUpdateFileSharesSources,Define file shares for downloading security intelligence updates,"This policy setting allows you to configure UNC file share sources for downloading security intelligence updates. Sources will be contacted in the order specified. The value of this setting should be entered as a pipe-separated string enumerating the security intelligence update sources. For example: ""{\\unc1 | \\unc2 }"". The list is empty by default.    If you enable this setting  the specified sources will be contacted for security intelligence updates. Once security intelligence updates have been successfully downloaded from one specified source  the remaining sources in the list will not be contacted.    If you disable or do not configure this setting  the list will remain empty by default and no sources will be contacted.",At least Windows Server 2012  Windows 8 or Windows RT,textBox,Define file shares for downloading security intelligence updates,Software\Policies\Microsoft\Windows Defender\Signature Updates,DefinitionUpdateFileSharesSources (required),
Security Intelligence Updates,SignatureUpdate_SharedSignaturesLocation,Define security intelligence location for VDI clients.,This policy setting allows you to define the security intelligence location for VDI-configured computers.     If you disable or do not configure this setting  security intelligence will be referred from the default local source.,At least Windows Server 2016  Windows 10 Version 1903,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,,
Security Intelligence Updates,SignatureUpdate_SharedSignaturesLocation,Define security intelligence location for VDI clients.,This policy setting allows you to define the security intelligence location for VDI-configured computers.     If you disable or do not configure this setting  security intelligence will be referred from the default local source.,At least Windows Server 2016  Windows 10 Version 1903,textBox,Define file share for downloading security intelligence updates in virtual environments,Software\Policies\Microsoft\Windows Defender\Signature Updates,SharedSignatureRoot (required),
Security Intelligence Updates,SignatureUpdate_SharedSignaturesLocationUpdateAtScheduledTimeOnly,Configure security intelligence updates according to the scheduler for VDI clients.,This policy setting allows you to configure security intelligence updates according to the scheduler for VDI-configured computers. It is used together with the shared security intelligence location (SharedSignaturesLocation).    If you enable this policy setting and configure SharedSignaturesLocation  updates from the configured location occur only at the previously configured scheduled update time.    If you either disable or do not configure this policy setting  updates occur whenever a new security intelligence update is detected at the location that is specified by SharedSignaturesLocation.    ,At least Windows Server 2016  Windows 10 Version 1903,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,SharedSignatureRootUpdateAtScheduledTimeOnly,Policy value:   1 (Enabled)   0 (Disabled)
Security Intelligence Updates,SignatureUpdate_DisableScanOnUpdate,Turn on scan after security intelligence update,This policy setting allows you to configure the automatic scan which starts after a security intelligence update has occurred.    If you enable or do not configure this setting  a scan will start following a security intelligence update.    If you disable this setting  a scan will not start following a security intelligence update.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,DisableScanOnUpdate,Policy value:   0 (Enabled)   1 (Disabled)
Security Intelligence Updates,SignatureUpdate_DisableScheduledSignatureUpdateonBattery,Allow security intelligence updates when running on battery power,This policy setting allows you to configure security intelligence updates when the computer is running on battery power.    If you enable or do not configure this setting  security intelligence updates will occur as usual regardless of power state.    If you disable this setting  security intelligence updates will be turned off while the computer is running on battery power.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Signature Updates,DisableScheduledSignatureUpdateOnBattery,Policy value:   0 (Enabled)   1 (Disabled)
